exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_trade,log_dist,y,log_y,e,log_e,total_e,remoteness_exp,log_remoteness_exp,total_y,remoteness_imp,log_remoteness_imp,exp_year,imp_year
HUN,TUN,1686,2006,56.268266020067,1472.78598793564,0,0,0,4.030130717617035,7.294911115978744,105145.94254568369,11.563104593088987,25484.1554482759,10.145812183055943,26248052.9686006,668492938.761545,20.32053639164053,26248052.9686006,873405876.6023235,20.587910927413436,HUN2006,TUN2006
THA,KWT,1962,1994,59.5944203515053,5666.31324525166,0,0,0,4.087561951425507,8.642293963940247,132122.34446066135,11.791483624281145,10575.10671712423,9.266258095317388,14265756.416838426,1503161678.0489118,21.130836512157476,14265756.416838426,1242933874.1080372,20.940740449434013,THA1994,KWT1994
AUS,FRA,87,1990,241.780116212368,16513.0206391933,0,0,0,5.488028702427084,9.711904478337656,128876.86963476626,11.766612728564303,697117.5694714404,13.454709354816961,12246859.677430546,1781560149.4037738,21.30075530578781,12246859.677430546,1084624518.7593408,20.804499698384703,AUS1990,FRA1990
DEU,ESP,467,2006,46720.8540771484,1627.34603752689,0,0,0,10.751945898095899,7.394705769009889,2007800.2130255208,14.512550259338532,686476.7298770647,13.43932760685974,26248052.9686006,701940706.3490958,20.369359494532635,26248052.9686006,967871594.7186087,20.69060998635797,DEU2006,ESP2006
TZA,MAC,2057,1990,0,9034.9267578125,0,0,0,-Inf,9.108853096497898,769.8248531498319,6.64616302553222,2099.537846084949,7.649472526198952,12246859.677430546,787213234.0515562,20.48400971511024,12246859.677430546,1658042426.6928954,21.228903482411067,TZA1990,MAC1990
GBR,NLD,1331,2006,19808.5920224609,467.948034164119,0,0,0,9.893871063085992,6.1483572516416025,925638.166450444,13.73823868829244,456091.72916786297,13.030449228722311,26248052.9686006,729657108.5796189,20.40808526748191,26248052.9686006,1102855538.576357,20.82116859726798,GBR2006,NLD2006
PAN,BRA,680,1998,29.7704029579163,4948.14210341148,0,0,0,3.3935147106403543,8.506767452463663,4706.343191914893,8.456666493087056,355098.17707959557,12.780149585377016,15387631.310950087,1509255228.4166539,21.134882139883047,15387631.310950087,1643203296.5792828,21.219913403331347,PAN1998,BRA1998
NGA,MUS,1888,1994,0.689617974042893,6493.87827719307,0,1,0,-0.3716174955249748,8.77861520859939,6916.696932245327,8.841693612727473,2665.018815634748,7.887966396850724,14265756.416838426,729810125.9997901,20.40829495690433,14265756.416838426,1495107228.8136754,21.12546376617593,NGA1994,MUS1994
BEL,TTO,666,1986,11.2050139854848,7422.43855128937,0,0,0,2.416361355398903,8.91226292789558,316536.2494439075,12.665193046216293,2708.0626252975053,7.903988759797815,8435941.468852492,896500610.2368007,20.61400953169724,8435941.46885249,1518362497.5562062,21.14089828685594,BEL1986,TTO1986
SEN,MMR,2034,2002,0,11843.963455476,0,0,0,-Inf,9.379573603728373,2294.2149563911044,7.738145997044427,18668.878489776092,9.834613164553447,16796347.543891504,726482941.5355179,20.403725560362425,16796347.543891504,1696897925.5266643,21.252067671434595,SEN2002,MMR2002
